data,locali,ospiti,pt-locali,pt-ospiti
22 Ott,Pallacanestro Arcella,USMA Caselle,59,54
26 Nov,Bk2020 Veggiano,Pallacanestro Arcella,62,48
5 Nov,Pallacanestro Arcella,Virtus Cave,73,54
12 Nov,Pallacanestro Limena,Pallacanestro Arcella,51,53
19 Nov,Selvazzano Basket,Pallacanestro Arcella,51,70
3 Dic,Pallacanestro Arcella,Don Bosco Arcobaleno,60,35
10 Dic,I Frogs,Pallacanestro Arcella,63,66
16 Dic,USMA Caselle,Pallacanestro Arcella,35,49
9 Mar,Pallacanestro Arcella,Bk2020 Veggiano,68,49
4 Mar,Virtus Cave,Pallacanestro Arcella,56,86
11 Mar,Pallacanestro Arcella,Pallacanestro Limena,58,33
11 Feb,Pallacanestro Arcella,Selvazzano Basket,75,39
17 Feb,Don Bosco Arcobaleno,Pallacanestro Arcella,50,61
25 Feb,Pallacanestro Arcella,I Frogs,66,46
