Data,Locali,Risultato,Ospiti,Palestra
22 Ott,<u>**Pallacanestro Arcella</u>**,<u>**59</u>** - 54,USMA Caselle,"[*Palestra L. P. Barion*](https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD)"
26 Nov,<u>**Bk2020 Veggiano</u>**,<u>**62</u>** - 48,Pallacanestro Arcella,[*Palestra S.E. De Amicis*](https://maps.google.com?q=+Via+S.G.+Battista+Loc.+Lissaro+MESTRINO+PD)
5 Nov,<u>**Pallacanestro Arcella</u>**,<u>**73</u>** - 54,Virtus Cave,"[*Palestra L. P. Barion*](https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD)"
12 Nov,Pallacanestro Limena,51 - <u>**53</u>**,<u>**Pallacanestro Arcella</u>**,"[*Palestra 'Ilaria Alpi'*](https://maps.google.com?q=+Via+Verdi,+38+LIMENA+PD)"
19 Nov,Selvazzano Basket,51 - <u>**70</u>**,<u>**Pallacanestro Arcella</u>**,"[*Palasport 'A. Ceron'*](https://maps.google.com?q=+Via+Euganea,+51+SELVAZZANO+DENTRO+PD)"
3 Dic,<u>**Pallacanestro Arcella</u>**,<u>**60</u>** - 35,Don Bosco Arcobaleno,"[*Palestra L. P. Barion*](https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD)"
10 Dic,I Frogs,63 - <u>**66</u>**,<u>**Pallacanestro Arcella</u>**,"[*Arcostruttura 'Vigonza'*](https://maps.google.com?q=+Via+Molino,+19+VIGONZA+PD)"
16 Dic,USMA Caselle,35 - <u>**49</u>**,<u>**Pallacanestro Arcella</u>**,[*Palestra Kolbe*](https://maps.google.com?q=+Via+Ceresina+13+'Loc.+Caselle'+SELVAZZANO+DENTRO+PD)
9 Mar,<u>**Pallacanestro Arcella</u>**,<u>**68</u>** - 49,Bk2020 Veggiano,"[*Palestra L. P. Barion*](https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD)"
4 Mar,Virtus Cave,56 - <u>**86</u>**,<u>**Pallacanestro Arcella</u>**,"[*Pal. Istituto 'Einaudi'*](https://maps.google.com?q=+Via+Marcanova,+10+PADOVA+PD)"
11 Mar,<u>**Pallacanestro Arcella</u>**,<u>**58</u>** - 33,Pallacanestro Limena,"[*Palestra L. P. Barion*](https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD)"
11 Feb,<u>**Pallacanestro Arcella</u>**,<u>**75</u>** - 39,Selvazzano Basket,"[*Palestra L. P. Barion*](https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD)"
17 Feb,Don Bosco Arcobaleno,50 - <u>**61</u>**,<u>**Pallacanestro Arcella</u>**,[*Palasport 'Don Bosco'*](https://maps.google.com?q=+Via+Forcellini+PADOVA+PD)
25 Feb,<u>**Pallacanestro Arcella</u>**,<u>**66</u>** - 46,I Frogs,"[*Palestra L. P. Barion*](https://maps.google.com?q=+Via+L.+Bressan,+3+-+Loc.Arcell+PADOVA+PD)"
